comparison,method,n_base_model,top1_accuracy_base_model,top3_accuracy_base_model,top5_accuracy_base_model,n_gpt_model,top1_accuracy_gpt_model,top3_accuracy_gpt_model,top5_accuracy_gpt_model,top1_accuracy_delta,top3_accuracy_delta,top5_accuracy_delta
eval_profiles_v2,faiss_only,29,0.4482758620689655,0.6551724137931034,0.7586206896551724,29,0.4482758620689655,0.6551724137931034,0.7586206896551724,0.0,0.0,0.0
eval_profiles_v2,domain_rerank,29,0.6206896551724138,0.6896551724137931,0.7586206896551724,29,0.6206896551724138,0.6896551724137931,0.7586206896551724,0.0,0.0,0.0
eval_profiles_v2,ai_classifier_rerank,29,0.7586206896551724,0.7586206896551724,0.7586206896551724,29,0.4482758620689655,0.6896551724137931,0.7586206896551724,-0.31034482758620685,-0.06896551724137923,0.0
gpt_domain_profiles,faiss_only,143,0.0139860139860139,0.0909090909090909,0.1398601398601398,142,0.0140845070422535,0.0915492957746478,0.1408450704225352,9.849305623960136e-05,0.0006402048655568954,0.000984930562395403
gpt_domain_profiles,domain_rerank,143,0.1118881118881118,0.1398601398601398,0.1398601398601398,142,0.1126760563380281,0.1408450704225352,0.1408450704225352,0.0007879444499162974,0.000984930562395403,0.000984930562395403
gpt_domain_profiles,ai_classifier_rerank,143,0.0769230769230769,0.1258741258741259,0.1398601398601398,142,0.1126760563380281,0.1338028169014084,0.1408450704225352,0.0357529794149512,0.007928691027282525,0.000984930562395403
